file,link,correct_face_detection,correct_shirt_color_hex
No Face 1.jpg,https://t.me/GAZA20249/26017,False,
No Face 2.jpg,https://t.me/GAZA20249/26025,False,
No Face 3.jpg,https://t.me/GAZA20249/26030,False,
photo_2026-04-01_12-15-37.jpg,https://t.me/GAZA20249/26007,True,#4F555C
photo_2026-04-01_12-34-57.jpg,https://t.me/GAZA20249/26008,True,#15191C
photo_2026-04-01_13-10-58.jpg,https://t.me/GAZA20249/26010,True,#C2B8AD
photo_2026-04-05_13-32-35 same child 1.1..jpg,https://t.me/GAZA20249/26137,True,#575676
photo_2026-04-05_13-32-35 same child 1.2..jpg,https://t.me/GAZA20249/26137,True,#575676
photo_2026-04-05_22-57-20 same child 2.1..jpg,https://t.me/GAZA20249/26157,True,#3C525B
photo_2026-04-08_20-58-32 same child 2.2..jpg,https://t.me/GAZA20249/26028,True,#3C525B
photo_2026-04-02_15-04-03.jpg,https://t.me/GAZA20249/26036,True,#1A6F55
photo_2026-04-02_18-48-36.jpg,https://t.me/GAZA20249/26048,True,#458FC1
photo_2026-04-03_19-26-16.jpg,https://t.me/GAZA20249/26068,True,#F14E93
photo_2026-04-03_19-13-01.jpg,https://t.me/GAZA20249/26076,True,#CEBDA8
photo_2026-04-04_10-29-33.jpg,https://t.me/GAZA20249/26096,True,#EBECE7
photo_2026-05-11_10-40-27 same person different photo 2.jpg,https://t.me/GAZA20249/27065,True,#101729
photo_2026-05-11_10-40-47 same person different photo 1.jpg,https://t.me/GAZA20249/27065,True,#4F4F57
