file,face_detected,detector_used,shirt_color_rgb,shirt_color_hex,shirt_color_hsv,shirt_color_name
No Face 1.jpg,False,none,,,,no_region
No Face 2.jpg,False,none,,,,no_region
No Face 3.jpg,False,none,,,,no_region
photo_2026-04-01_12-15-37.jpg,True,yolo,"(22, 18, 16)",#161210,"[10, 70, 22]",black
photo_2026-04-01_12-34-57.jpg,True,yolo,"(22, 25, 22)",#161916,"[60, 31, 25]",black
photo_2026-04-01_13-10-58.jpg,True,yolo,"(171, 165, 161)",#aba5a1,"[12, 15, 171]",gray
photo_2026-04-02_15-04-03.jpg,True,yolo,"(191, 175, 154)",#bfaf9a,"[17, 49, 191]",orange
photo_2026-04-02_18-48-36.jpg,True,yolo,"(116, 106, 99)",#746a63,"[12, 37, 116]",gray
photo_2026-04-03_19-13-01.jpg,True,yolo,"(48, 26, 16)",#301a10,"[9, 170, 48]",black
photo_2026-04-03_19-26-16.jpg,True,yolo,"(232, 91, 147)",#e85b93,"[168, 155, 232]",pink
photo_2026-04-04_10-29-33.jpg,True,yolo,"(220, 217, 206)",#dcd9ce,"[24, 16, 220]",white
photo_2026-04-05_13-32-35 same child 1.1..jpg,True,yolo,"(67, 70, 96)",#434660,"[117, 77, 96]",blue
photo_2026-04-05_13-32-35 same child 1.2..jpg,True,yolo,"(67, 69, 96)",#434560,"[118, 77, 96]",blue
photo_2026-04-05_22-57-20 same child 2.1..jpg,True,yolo,"(31, 36, 37)",#1f2425,"[95, 41, 37]",black
photo_2026-04-08_20-58-32 same child 2.2..jpg,True,yolo,"(35, 37, 41)",#232529,"[110, 37, 41]",black
photo_2026-05-11_10-40-27 same person different photo 2.jpg,True,yolo,"(18, 26, 40)",#121a28,"[109, 140, 40]",black
photo_2026-05-11_10-40-47 same person different photo 1.jpg,True,yolo,"(77, 79, 86)",#4d4f56,"[113, 27, 86]",gray
