file,link,correct_face_detection,correct_shirt_color_hex,face_detected,detector_used,shirt_color_rgb,shirt_color_hex,shirt_color_hsv,shirt_color_name,gt_rgb,pred_rgb,color_distance
No Face 1.jpg,https://t.me/GAZA20249/26017,False,,False,none,,,,no_region,,,
No Face 2.jpg,https://t.me/GAZA20249/26025,False,,False,none,,,,no_region,,,
No Face 3.jpg,https://t.me/GAZA20249/26030,False,,False,none,,,,no_region,,,
photo_2026-04-01_12-15-37.jpg,https://t.me/GAZA20249/26007,True,#4F555C,True,yolo,"(22, 18, 16)",#161210,"[10, 70, 22]",black,"(79, 85, 92)","(22, 18, 16)",116.2497311824849
photo_2026-04-01_12-34-57.jpg,https://t.me/GAZA20249/26008,True,#15191C,True,yolo,"(22, 25, 22)",#161916,"[60, 31, 25]",black,"(21, 25, 28)","(22, 25, 22)",6.082762530298219
photo_2026-04-01_13-10-58.jpg,https://t.me/GAZA20249/26010,True,#C2B8AD,True,yolo,"(171, 165, 161)",#aba5a1,"[12, 15, 171]",gray,"(194, 184, 173)","(171, 165, 161)",32.155870381627054
photo_2026-04-05_13-32-35 same child 1.1..jpg,https://t.me/GAZA20249/26137,True,#575676,True,yolo,"(67, 70, 96)",#434660,"[117, 77, 96]",blue,"(87, 86, 118)","(67, 70, 96)",33.76388603226827
photo_2026-04-05_13-32-35 same child 1.2..jpg,https://t.me/GAZA20249/26137,True,#575676,True,yolo,"(67, 69, 96)",#434560,"[118, 77, 96]",blue,"(87, 86, 118)","(67, 69, 96)",34.249087579087416
photo_2026-04-05_22-57-20 same child 2.1..jpg,https://t.me/GAZA20249/26157,True,#3C525B,True,yolo,"(31, 36, 37)",#1f2425,"[95, 41, 37]",black,"(60, 82, 91)","(31, 36, 37)",76.6355009117837
photo_2026-04-08_20-58-32 same child 2.2..jpg,https://t.me/GAZA20249/26028,True,#3C525B,True,yolo,"(35, 37, 41)",#232529,"[110, 37, 41]",black,"(60, 82, 91)","(35, 37, 41)",71.76350047203663
photo_2026-04-02_15-04-03.jpg,https://t.me/GAZA20249/26036,True,#1A6F55,True,yolo,"(191, 175, 154)",#bfaf9a,"[17, 49, 191]",orange,"(26, 111, 85)","(191, 175, 154)",189.952625672824
photo_2026-04-02_18-48-36.jpg,https://t.me/GAZA20249/26048,True,#458FC1,True,yolo,"(116, 106, 99)",#746a63,"[12, 37, 116]",gray,"(69, 143, 193)","(116, 106, 99)",111.41813137905338
photo_2026-04-03_19-26-16.jpg,https://t.me/GAZA20249/26068,True,#F14E93,True,yolo,"(232, 91, 147)",#e85b93,"[168, 155, 232]",pink,"(241, 78, 147)","(232, 91, 147)",15.811388300841896
photo_2026-04-03_19-13-01.jpg,https://t.me/GAZA20249/26076,True,#CEBDA8,True,yolo,"(48, 26, 16)",#301a10,"[9, 170, 48]",black,"(206, 189, 168)","(48, 26, 16)",273.1977305908671
photo_2026-04-04_10-29-33.jpg,https://t.me/GAZA20249/26096,True,#EBECE7,True,yolo,"(220, 217, 206)",#dcd9ce,"[24, 16, 220]",white,"(235, 236, 231)","(220, 217, 206)",34.79942528261063
photo_2026-05-11_10-40-27 same person different photo 2.jpg,https://t.me/GAZA20249/27065,True,#101729,True,yolo,"(18, 26, 40)",#121a28,"[109, 140, 40]",black,"(16, 23, 41)","(18, 26, 40)",3.7416573867739413
photo_2026-05-11_10-40-47 same person different photo 1.jpg,https://t.me/GAZA20249/27065,True,#4F4F57,True,yolo,"(77, 79, 86)",#4d4f56,"[113, 27, 86]",gray,"(79, 79, 87)","(77, 79, 86)",2.23606797749979
